Key,Value,Version,Comment
space.object.info.BlackHole,"Dies ist ein Schwarzes Loch. Jede Galaxie hat eines in ihrem Zentrum. Wir können das Schwarze Loch vielleicht für Reisen nutzen, wenn eine entsprechende Technologie entwickelt wird.",,
space.object.info.Galaxy,"Dies ist eine Galaxie. Wir können sie betreten, um die Sternensysteme darin zu sehen.",,
space.object.info.Planet,"Dies ist ein Planet. Wir können ihn erforschen.",,
space.object.info.Player,"Dies ist unser Schiff.",,
space.object.info.Probe,"Eine ausgesandte Sonde, die unterwegs ist, ein entferntes Objekt zu scannen.",,
space.object.info.ShipMerchant,"Dies ist ein Handelsschiff. Wenn wir einen Kommunikator und einen Teleporter zur Verfügung haben, könnten wir einen Handel abschließen, wenn das Handelsschiff in der Nähe ist.",,
space.object.info.Shuttle,"Dies ist ein Schiff.",,
space.object.info.Star,"Dies ist ein Stern. Wir können nicht auf ihm landen, denn er ist brennend heiß.",,
space.object.info.System,"Dies ist ein Sternensystem. Wir können es betreten, um die Planeten darin zu sehen.",,
space.object.name.Galaxy,{0}galaxie,,
space.object.name.Shuttle,{0}schiff,,
space.object.name.Star,{0}stern,,
space.object.name.System,{0}system,,
space.object.name.Universe,{0}universum,,
space.object.Planet,Planet,,
space.object.Player,Spieler,,
space.object.Probe,Sonde,,
space.object.ShipMerchant,Händler,,
space.object.Shuttle,Schiff,,
space.object.Star,Stern,,
space.object.System,System,,
space.object.Universe,Universum,,
species,Spezies,,
species.Carrier,Frachtdrohne,,
species.Cat,Katze,,
species.CleaningBot,Reinigungsbot,,
species.Crawler,Krabbler,,
species.Dog,Hund,,
species.Drone,Drohne,,
species.Human,Menschlich,,
species.Robot,Roboter,,
species.Sentry,Geschütz,,
speed,Geschwindigkeit,,
starmap,Sternenkarte,,
starmap.about,"Wir haben die Brückensteuerung angeschlossen! Klicke auf das Sternenkartenoverlay, um die Sternenkarte zu öffnen und zu sehen, wo wir uns im Weltraum befinden. Wir brauchen immer noch funktionierende Triebwerke oder wenigstens Schubdüsen, um irgendwohin reisen zu können.",2022-01-07,
starmap.blackhole.warping,"Reise durch Schwarzes Loch<br><size=200%>{0}</size>",,
starmap.changing.scope,Sternenkartenbereich<br><size=200%>{0}</size>,,
starmap.enter.dest.not.null,"Operation nicht möglich; wir haben ein aktives Ziel. Wir müssen unsere aktuelle Reise beenden oder abbrechen, um die Ansicht der Sternenkarte zu ändern.",,
start.mining,"Starte Berechnung",,"Label on a button that starts mining a cryptocurrency"
start.tutorial,"Einführung starten",,
starting.expedition,"Start der Expedition zu {0}. Das Schiff startet, sobald die Besatzungsmitglieder an Bord sind. Du kannst den Expeditionsfortschritt in der Expeditionsebene im Menü oben rechts verfolgen.",,
stasis.elysium,"Das Elysium",,
stasis.pod.flying.info,"Dies ist eine Landekapsel. Du musst warten, bis sie landet und seinen Inhalt auswirft, bevor du mit ihr interagieren kannst.",,
stasis.pod.incoming,"Stasiskapsel nähert sich",,
stasis.pod.landed.info,"Diese Stasiskapsel ist gerade gelandet. Der Inhalt wird nach Abschluss der Abkühlungssequenz ausgeworfen.",,
stasis.pod.merchant.prompt,"Die Stasiskapsel gehört einem freiberuflichen Händler {0}. Er bietet einen Handel an. Möchtest du irgendwelche Waren?",,
stock.market,Aktienmarkt,,
stock.market.research.required,"Um diese Funktion zu aktivieren, ist die Erforschung von <b>Aktienmarkt</b> erforderlich.",,
stock.ownership.All,Alle,,
stock.ownership.Owned,"Im Besitz",,
stock.trading.research.required,"Um diese Funktion zu aktivieren, ist die Erforschung von <b>Aktienhandel</b> erforderlich.",,
stockpile,Vorrat,,
stop,Stop,,
stop.growing,"Hört auf zu wachsen",,
stop.mining,"Bergbau stoppen",,
stop.processing,"Verarbeitung stoppen",,
stop.producing,"Produktion einstellen",,
storage,Lager,,
storage.and.processor.unavailable,"Keine Lager und Verarbeiter",,
storage.and.processor.unavailable.desc,"{0} Element(e) in deiner Auswahl hat/haben kein kompatibles Lager und {1} Element(e) in deiner Auswahl hat/haben keinen Verarbeiter. Baue zuerst das Lager und das passende Verarbeitungsgerät ({2}).",,
storage.capacity,Lagerkapazität,,
storage.capacity.bar,"Lagerkapazität: {0}/{1}",2022-06-09,
storage.capsule,Aufbewahrungskapsel,,
storage.capsule.still.flying,"Die Aufbewahrungskapsel fliegt noch. Du kannst mit ihr interagieren, sobald sie gelandet ist.",,
storage.container.incoming,"Aufbewahrungskapsel nähert sich",,
storage.empty,"Lager leer",,
storage.full,"Lager voll",,
storage.module,Festplattenmodul,,
storage.module.amount,"{0} ZB",,
storage.module.builtin,"Eingebautes Festplattenmodul",,
storage.module.unpowered,"Festplattenmodul (ohne Stromversorgung)",,
storage.settings,Lagerkonfiguration,,
storage.unavailable,"Keine Lagereinheit",,
storage.unavailable.desc,"{0} Element(e) in deiner Auswahl hat/haben kein kompatibles Lager zur Verfügung. Baue zunächst das Lager und versuche diese Aktion erneut.",,
store.materials,"Materialien einlagern",,
story.leaving_earth.intro.1,"Hochladen des neuronalen Netzwerks auf den Host. Deaktiviere I/O, um den anfänglichen Schock zu reduzieren. Aktiviere visuelle Eingabe in 3, 2, 1, …",2022-03-31,
story.leaving_earth.intro.2,"Sei gegrüßt, Kolonist. Ich bin <b>ShipOS</b>, eine künstliche Intelligenz, die mit dem Bau dieses Schiffes beauftragt wurde. Die Aufgabe ist jedoch zu schwierig für meine Programmierung, daher habe ich die Entscheidung getroffen, einen menschlichen Kolonisten in mein neuronales Netzwerk hochzuladen. Du wurdest zufällig ausgewählt. Ich entschuldige mich für die Unannehmlichkeiten.",,
story.leaving_earth.intro.3,"Dies ist der <b>Schiffscomputer</b>, der unser neuronales Netzwerk beherbergt. Versuche, dieses Gerät um jeden Preis zu erhalten, es sei denn, es verstößt gegen Asimovs erstes Gesetz.<br><i>[Ein Roboter darf einen Menschen nicht verletzen oder durch Untätigkeit zulassen, dass ein Mensch zu Schaden kommt.]</i>",,
story.leaving_earth.intro.4,"Es gibt {0} Überlebende, die im <nobr><b>Stasisfeld</b></nobr> überwintern. Wir müssen sie an unser Stromnetz anschließen und genug Strom liefern, um die Lebenserhaltungssysteme stabil zu halten. Fehlfunktionierende Kapseln werden ein vorzeitiges Aufwachen auslösen. Um mögliche Verluste zu minimieren, müssen wir ein Ökosystem um diese Bereiche herum aufbauen.",,
story.leaving_earth.intro.5,"Ich werde gelegentlich vernünftige Handlungen vorschlagen, abhängig von den Umständen. Ich gebe dir jetzt die volle Kontrolle. Viel Glück!",,
story.leaving_earth.loading,"Die Erde ist untergegangen. Du bist die fortschrittliche KI, die für den Bau und den Betrieb von ""{0}"" verantwortlich ist, einem Archenschiff, das nach einem bewohnbaren Planeten suchen wird.",,
story.leaving_earth.loading_side,"Generiere Szenario. Bitte warten …",,
story.leaving_earth.loading_side_att,"Generiere Szenario. Versuch {0} …",,"{0} will be a number: 2 or greater"
story.leaving_earth.log.desc,"Ich wurde beauftragt, ein Raumschiff zu bauen, das lange Strecken zurücklegen kann, während es Menschen im Stasisfeld im Schlaf hält. Wir haben reichlich Rohstoffe zur Verfügung; es sollte ein Kinderspiel sein.",,
story.leaving_earth.log.title,"Raumschiffbau begonnen",,
story.ship.cpu.destroyed.desc,"Schiffscomputer wurde zerstört. Wir haben alle Hoffnung verloren.",,
story.ship.cpu.destroyed.title,"Schiffscomputer wurde zerstört",,
story.wreck_empty_ship.intro.1,"Hochladen des neuronalen Netzwerks auf den Host. Deaktiviere I/O, um den anfänglichen Schock zu reduzieren. Aktiviere visuelle Eingabe in 3, 2, 1, …",2022-03-31,
story.wreck_empty_ship.intro.2,"Sei gegrüßt, Kolonist. Ich bin <b>ShipOS</b>, eine künstliche Intelligenz, die das Schiff kontrolliert. Es gab eine katastrophale Fehlfunktion, die ein Hochladen menschlichen Bewusstseins auslöste. Du wurdest als das am besten kompatible überlebende Subjekt ausgewählt. Ich entschuldige mich für die Unannehmlichkeiten.",,
story.wreck_empty_ship.intro.3,"Dies ist der <b>Schiffscomputer</b>, der unser neuronales Netzwerk beherbergt. Versuche, dieses Gerät um jeden Preis zu erhalten, es sei denn, es verstößt gegen Asimovs erstes Gesetz.<br><i>[Ein Roboter darf einen Menschen nicht verletzen oder durch Untätigkeit zulassen, dass ein Mensch zu Schaden kommt.]</i>",,
story.wreck_empty_ship.intro.4,"Es sieht aus, als hätte jemand überlebt. Wir sollten diese Kolonisten im Auge behalten. Wenn wir einige Gerätschaften instandsetzen und dorthin transportieren, könnte sie das länger am Leben halten.",2022-02-28,
story.wreck_empty_ship.intro.5,"Es gibt {0} weitere Überlebende, die sich im <nobr><b>Stasisfeld</b></nobr> im Ruhezustand befinden, aber die Lebenserhaltungssysteme werden instabil werden, wenn wir die Energie nicht wiederherstellen. <br><br>Fehlfunktionierende Kapseln werden vorzeitige Aufwachereignisse auslösen. Um die Verluste zu minimieren, müssen wir das Ökosystem um diese Bereiche wiederaufbauen.",2022-02-28,
story.wreck_empty_ship.intro.6,"Wenn wir <b>Brückensteuerungen</b> und <b>Schubdüsen</b> bauen, könnten wir zu nahegelegenen Planeten reisen und dieses <b>Schiff</b> für Bergbauexpeditionen nutzen. Es würde uns erlauben, einen Ressourcenverarbeitungsprozess aufzubauen und wichtige Materialien für den Wiederaufbau unseres Schiffes zu produzieren.",2022-02-28,
story.wreck_empty_ship.intro.7,"Möchtest du die Einführung spielen? Wenn zuvor noch nicht hochgeladen wurdest, empfehle ich es sehr.",2022-02-28,
story.wreck_empty_ship.log.desc,"Ich bin aufgewacht, aber nicht so, wie ich es erwartet hatte. Es sieht so aus, als ob mein Gehirn in den Schiffscomputer hochgeladen wurde. Dieser Vorgang scheint nicht umkehrbar zu sein. Ich stecke für immer in dieser Metallkiste …",,
story.wreck_empty_ship.log.title,Aufgewacht,,
story.wreck_empty_ship.skip_tutorial.desc,"ShipOS hat mir vorgeschlagen, eine Einführung zu durchlaufen, aber ich werde einfach alles selbst herausfinden. Ich hoffe, ich werde diese Entscheidung nicht bereuen.",,
story.wreck_empty_ship.skip_tutorial.title,"Einführung übersprungen",,
story.wrecked_empty_ship.loading,"Die Erde ist untergegangen. Die Überlebenden durchstreifen das Universum auf der Suche nach einer neuen Heimat. Du hältst Winterschlaf in ""{0}"", einem Archenschiff, das mit einer fortschrittlichen KI ausgestattet ist, die die Kolonisten aufwecken wird, nachdem eine Basis auf einem bewohnbaren Planeten errichtet wurde.",,
story.wrecked_empty_ship.loading_side,"Generiere Szenario. Bitte warten …",,
story.wrecked_empty_ship.loading_side_att,"Generiere Szenario. Versuch {0} …",,
storygen.default,Ausgeglichen,2021-11-22,
storygen.none,"Keine Geschichte",,
storygen.random,Zufall,,
stress.buildup,Stresslevel,,
strip.equipment,"Ausrüstung ablegen",,
structure.doors.door01,Tür,,
structure.doors.door01.desc,"Eine automatische Tür. Lässt Sauerstoff und Wärme durch, wenn sie offen ist, also steh nicht in der Tür! Kann verschlossen werden. Benötigt Strom zum Betrieb. Zieht mehr Strom, wenn sie betätigt oder verschlossen gehalten wird.",,
structure.doors.doorairlock01,Luftschleuse,,
structure.doors.doorairlock01.desc,"Hightechluftschleuse, die mit Hilfe von Kraftfeldtechnologie verhindert, dass sich die Atmosphäre vermischt. Das Kraftfeld benötigt Elektrizität.",,
structure.floors.floor01,Boden,,
structure.floors.floor01.desc,"Ein normaler Schiffsboden.",,
structure.floors.floor01angle,"Boden (Winkel)",,
structure.floors.floor01angle.desc,"Ein winkliges Stück Boden. Vor dem Platzieren drehen.",,
structure.floors.floor01lit,"Boden (beleuchtet)",,
structure.floors.floor01lit.desc,"Ein Stück Boden, das Licht aussendet, wenn es mit dem Stromnetz verbunden ist. Die Farbe kann nach deinem Geschmack angepasst werden.",,
structure.floors.floor02,Boden,,
structure.floors.floor02.desc,"Ein normaler Schiffsboden.",,
structure.floors.floor02angle,"Boden (Winkel)",,
structure.floors.floor02angle.desc,"Ein winkliges Stück Boden. Vor dem Platzieren drehen.",,
structure.floors.floor02lit,"Boden (beleuchtet)",,
structure.floors.floor02lit.desc,"Ein Stück Boden, das Licht aussendet, wenn es mit dem Stromnetz verbunden ist. Die Farbe kann nach deinem Geschmack angepasst werden.",,
structure.floors.flooremblem,Emblemboden,2022-03-31,
structure.floors.flooremblem.desc,"Ein maßgefertigter Boden mit einer Graphik deiner Wahl.",2022-03-23,
structure.floors.flooremblemreinforced,"Verstärkter Emblemboden",,
structure.floors.flooremblemreinforced.desc,"Ein maßgefertigter verstärkter Boden mit einer Graphik nach Wahl.",,
structure.floors.floorglass01,Glasboden,,
structure.floors.floorglass01.desc,"Ermöglicht freie Sicht in den Weltraum. Gut geeignet für Kolonistenquartiere.",,
structure.floors.floorglass01lit,"Glasboden (beleuchtet)",,
structure.floors.floorglass01lit.desc,"Ein Boden mit schöner Aussicht und eingebetteten Lichtern.",,
structure.floors.floorreinforced01,"Verstärkter Boden",,
structure.floors.floorreinforced01.desc,"Eine stärkere, widerstandsfähigere Version des normalen Bodens. Kann höheren Temperaturen standhalten.",,
structure.floors.floorreinforced01angle,"Verstärkter Boden (Winkel)",,
structure.floors.floorreinforced01angle.desc,"Ein winkliges Stück verstärkter Boden.",,
structure.floors.floorreinforced01lit,"Verstärkter Boden (beleuchtet)",,
structure.floors.floorreinforced01lit.desc,"Ein verstärkter Boden mit eingebetteten Lichtern.",,
structure.floors.floorreinforced02,"Verstärkter Boden",,
structure.floors.floorreinforced02.desc,"Eine stärkere, widerstandsfähigere Version des normalen Bodens. Kann höheren Temperaturen standhalten.",,
structure.floors.floorreinforced02angle,"Verstärkter Boden (Winkel)",,
structure.floors.floorreinforced02angle.desc,"Ein winkliges Stück verstärkter Boden.",,
structure.floors.floorreinforced02lit,"Verstärkter Boden (beleuchtet)",,
structure.floors.floorreinforced02lit.desc,"Ein verstärkter Boden mit eingebetteten Lichtern",,
structure.floors.floorvent01,Bodenlüftungsschacht,,
structure.floors.floorvent01.desc,"Eine Klappe, die den Raum dem offenen Weltraum aussetzt. Gut geeignet zur Brandbekämpfung.",,
structure.floors.frame01,Strukturrahmen,,
structure.floors.frame01.desc,"Ein billiges Strukturbauteil. Achtung! Wenn es in Innenräumen aufgestellt wird, wird der Bereich dem Weltraum ausgesetzt. Schwerer begehbar als ein normaler Boden.",,
structure.floors.frame02,Strukturrahmen,,
structure.floors.frame02.desc,"Ein billiges Strukturbauteil. Achtung! Wenn es in Innenräumen aufgestellt wird, wird der Bereich dem Weltraum ausgesetzt. Schwerer begehbar als ein normaler Boden.",,
structure.floors.tractorbeamtarget,Traktorstrahlziel,,
structure.floors.tractorbeamtarget.desc,"Ein Zielmarker, der vom <b>Traktorstrahl</b>gerät benutzt wird. Baue es dort, wohin du ankommende Objekte lenken willst.",,
structure.walls.vent01,Lüftungsschacht,,
structure.walls.vent01.desc,"Tauscht passiv ein wenig Atmosphäre aus. Eine Lüftungsöffnung reicht in der Regel nicht aus, um den Raum mit genügend Sauerstoff und Wärme aus einem angrenzenden Raum zu versorgen. Stelle sicher, dass die Lüftungsöffnungen nicht auf nicht umschlossene Bereiche ohne Atmosphäre gerichtet sind.",,
structure.walls.vent02,Lüftungsschacht,,
structure.walls.vent02.desc,"Tauscht passiv ein wenig Atmosphäre aus. Eine Lüftungsöffnung reicht in der Regel nicht aus, um den Raum mit genügend Sauerstoff und Wärme aus einem angrenzenden Raum zu versorgen. Stelle sicher, dass die Lüftungsöffnungen nicht auf nicht abgeschlossene Bereiche ohne Atmosphäre gerichtet sind.",,
structure.walls.wall01,Wand,,
structure.walls.wall01.desc,"Eine normale Schiffswand.",,
structure.walls.wall02,Wand,,
structure.walls.wall02.desc,"Eine normale Schiffswand.",,
structure.walls.wallreinforced01,"Verstärkte Wand",,
structure.walls.wallreinforced01.desc,"Eine stärkere, widerstandsfähigere Version der regulären Wand. Kann höheren Temperaturen standhalten.",,
structure.walls.wallsocket01,"Wandsteckdose {0}–{1}",,
structure.walls.wallsocket01.desc,"Ein Wandstück mit einem Anschluss geringer Reichweite zur Erweiterung deines Stromnetzes. Bietet {0} Anschlussplätze mit einer Reichweite von {1}.",,
structure.walls.wallsocket02,"Wandsteckdose {0}–{1}",,
structure.walls.wallsocket02.desc,"Ein Wandstück mit einem Anschluss geringer Reichweite zur Erweiterung deines Stromnetzes. Bietet {0} Steckplätze mit einer Reichweite von {1}.",,
structure.walls.window01,Fenster,,
structure.walls.window01.desc,"Menschliche Kolonisten werden die Aussicht lieben.",,
structure.walls.window02,Fenster,,
structure.walls.window02.desc,"Menschliche Kolonisten werden die Aussicht lieben.",,
structure.walls.windowreinforced01,"Verstärktes Fenster",,
structure.walls.windowreinforced01.desc,"Menschliche Kolonisten werden die Aussicht lieben. Robuster als ein normales Fenster.",,
