Key,Translation,Version,Comment (context for translators)
ship.has.bridge.controls.operator,Operator Mostka jest Dostępny,,
ship.in.one.piece,Statek w Całości,,
ship.log,Dziennik Statku,,
ship.must.be.stopped.first,"Nie można wykonać tej operacji, gdy statek jest w ruchu",,
ship.navigation,Nawigacja Statku,,
ship.no.bridge.controls,Mostek Sterowania jest Wyłączony,,
ship.no.bridge.controls.operator,Brak Operatora Mostka,,
ship.no.engines,Silniki są Wyłączone,,
ship.not.in.one.piece,Statek Nie Jest w Całości,,
shooter,Strzelec,,For displaying the name of the person who fired a bullet. You can inspect a bullet to see who is the shooter. 
short.title,Krótki Tytuł,,
shortcut.not.bound,(nie przypisano),,
shortcut.tip,Skrót: {0},,
show,Pokaż,,
show.areas,Pokaż Pokoje,,
show.build.guidelines,Zbuduj więcej wytycznych,,
show.destination,Pokaż Miejsce Docelowe,,
show.engines,Silniki,,
show.hints,Pokauj Podpowiedzi,14.03.2023,Label for a toggle that disables or enables popups with hints
show.research.tree,Otwórz Badania,,
shower,Prysznic,,
shower.dirty,Prysznic jest zatkany,,
shutdown,Zamknięte,,
shuttle,Prom Kosmiczny,,
shuttle.crew.full,Ten prom kosmiczny nie pomieści więcej załogi,,
shuttle.damaged,Prom kosmiczny jest uszkodzony,,
shuttle.damaged.desc,Przed wyruszeniem na wyprawę prom kosmiczny musi zostać naprawiony,,
shuttle.has.pending.task,Prom kosmiczny ma oczekujące zadanie,,
shuttle.has.pending.task.desc,"Nie można użyć tego promu kosmicznego, ponieważ posiada oczekujące zadanie. Anuluj zadanie lub poczekaj, aż zostanie najpierw ukończone.",,
shuttle.lost.info,Ten prom kosmiczny jest zgubiony i nie można go odzyskać. Zalecane jest usunięcie lądowiska.,,
shuttle.storage.full,Prom kosmiczny „{0}” przerywa bieżącą operację wydobywczą. Magazyn został zapełniony.,,
silence,Cisza,,
silence.periods.none,Brak,,
siren.active,Aktywna,,
siren.armed,Uzbrojona,,
siren.off,Syrena Wyłączona,,
situation,Sytuacja,,
situation.ActiveThreats,Aktywne Zagrożenia,,
situation.Areas,Pokoje,,
situation.BaseNetWorth,Wartość Bazowa Netto,,
situation.BreakdownCandidates,Kandydaci na Szaleńców,,
situation.Breakdowns,Załamania Psychiczne,,
situation.Colonists,Koloniści,,
situation.Days,Przetrwane Dni,,
situation.Difficulty,Poziom Trudności,,
situation.Enemies,Wrogowie,,
situation.ExpeditionsCompleted,Zakończone Wyprawy,,
situation.ExpeditionsOngoing,Bieżące Wyprawy,,
situation.Friendlies,Sojusznicy,,
situation.GridBatCharge,Poziom Naładowania Baterii,,
situation.GridBatOutput,Rezerwa Baterii,,
situation.GridConsumption,Konsumpcja Sieci Elektroenergetycznej,,
situation.GridDeficit,Deficyt Sieci Elektroenergetycznej,,
situation.GridMaxOutput,Maksymalna Moc Wyjściowa Sieci Elektroenergetycznej,,
situation.Grids,Sieci Elektroenergetyczne,,
situation.GridSize,Ilość Elektronicznych Urządzeń,,
situation.HumanDeaths,Zgony Przyjaznych Ludzi,,
situation.Islands,Wyspy,,
situation.Mats,Materiały,,
situation.Months,Przetrwane Miesiące,,
situation.NetWorth,Wartość Netto,,
situation.Personas,Osoby,,
situation.ResearchedTech,Zbadane Technologie,,
situation.ShipComputers,Podłączone Komputery Pokładowe,,
situation.SpaceObjectsDiscovered,Odkryte Objekty Kosmiczne,,
situation.StoryEvents,Wydarzenia Przygody,,
situation.TotalCPU,Max CPU,,
situation.TotalDisk,Max Dysku,,
situation.TotalMemory,Max Pamięci,,
situation.Weeks,Przetrwane Tygodnie,,
situation.Workers,Pracownicy,,
situation.Years,Przetrwane Lata,,
size.large,Duże,,
size.medium,Średnie,,
size.small,Małe,,
skill.Cleaning,Czyszczenie,,
skill.Construction,Konstrukcja,,
skill.lvl,Poziom {0}/{1},,
skill.maxed.out,Ta umiejętność ma maksymalny poziom,,
skill.Mining,Wydobywanie,,
skill.Navigation,Nawigacja,,
skill.Operate,Obsługiwanie,,
skill.Repair,Naprawa,,
skill.Science,Nauka,,
skill.up,Umiejętność {1} została ulepszona do poziomu {2} dla {0},,"{0} is being name, {1} is skill name {2} is level (number). Example: ""John Construction level up to 4"""
skill.Wisdom,Wiedza,,
skills,Umiejętności,,
skills.info,"Umiejętności istot określają, nad jakimi zadaniami mogą pracować. Umiejętności rosną z czasem, gdy są używane.",,
skip,Pomiń,,
skip.reason,Powód pominięcia: {0},,
skip.tutorial,Pomiń Samouczek,,
skip.tutorial.confirm,"Czy chcesz pominąć samouczek? Jeśli nie jesteś zaznajomiony z grą, zdecydowanie zaleca się jej przejście.",,
sleep.interrupted,Sen został przerwany,,
sleeping,Śpi,,
sleeping.slots,Miejsce Spania,,
sleeping.slots.pets,Miejsce Spania (Dla Zwierzaków),,
slept.in.bed,Spanie w łózku,,
slept.in.familiar.bed,Spanie we włąsnym łóżku,,
slept.in.unfamiliar.bed,Spanie w czyimś łóżku,,
slept.too.short,Sen był za krótki,,
slog.expedition,Wyprawa do {0},,
slog.identify,Zidentyfikowano {0},,"{0} will be the space object name, i.e. a planet name or a space ship name, etc."
slog.leave,Opuszczanie {0},,
slog.visit,Wizyta na {0},,
smelt.ore,Stop Rudę,,
smelting.bar,Stapianie {0},,
smooth.drag,Płynne Przeciąganie,,
smooth.drag.tip,"Zmienia tryb przeciągania myszą. Będzie płynny gdy jest włączony, lub ostry i precyzyjny, gdy jest wyłączony. Jeśli nagrywasz lub streamujesz swoje rozgrywki, pozostawienie tego ustawienia włączonego zapewni lepsze wrażenia wizualne.",,
so.identified,Zidentyfikowano: {0},,
so.not.identified,Nie Zidentyfikowano,,
so.not.identified.info,"Ten objekt kosmiczny nie został jeszcze zidentyfikowany. Musisz się do niego zbliżyć, aby uzyskać więcej informacji",,
socialized.with,Czas spędzony towarzysko z {0},,
socializing,Spędza czas towarzysko,,
soft.cursor.tip,"Polecamy włączyć kursor programowy podczas nagrywania rozgrywki, jeśli twoje oprogramowanie do przechwytywania gier nie rejestruje kursora sprzętowego.",,
soiled.themselves,Pobrudził się,,
solar.panel,Panel Słoneczny,,
solar.panel.dust,Kurz: {0},,
solar.panel.dust.warn,Panel Słoneczny Pokryty Kurzem,,
soon,Wkrótce,,Displayed when something is going to happen very soon (countdown timer is down to 0). Should be short.
sort,Sortuj,,
sort.count,Według Ilości,,
sort.name,Według Nazwy,,
sort.value,Według Wartości,,
soundtrack,Ścieżka Dźwiękowa,,
space.diarrhea.ongoing,Choruje na Kosmiczną Biegunkę,,
space.object.BlackHole,Czarna Dziura,,
space.object.Galaxy,Galaktyka,,
space.object.info.BlackHole,"To jest czarna dziura. Każda galaktyka ma jedną w swoim centrum. Możemy być w stanie wykorzystać czarną dziurę do podróży, gdy zostanie odkryta wymagana technologia.",,
space.object.info.Galaxy,To jest galaktyka. Możemy do niej wejść by zobaczyć jej układy gwiezdne.,,
space.object.info.Planet,To jest planeta. Możemy ją zwiedzić.,,
space.object.info.Player,To jest nasz statek.,,
space.object.info.Probe,"Wystrzelona sonda, która jest w drodze do odległego obiektu.",,
space.object.info.ShipMerchant,"To jest statek handlowy. Jeśli mamy dostępny komunikator i teleporter, możemy rozpocząć handel gdy kupiec się zbliży.",,
space.object.info.Shuttle,To jest prom kosmiczny,,
space.object.info.Star,"To jest gwiazda. Nie możemy na niej wylądować, ponieważ jest piekielnie gorąca",,
space.object.info.System,"To jest układ gwiezdny. Możemy do niego wejść, by zobaczyć jego planety.",,
space.object.name.Galaxy,Galaktyka {0},,
space.object.name.Shuttle,Prom Kosmiczny {0},,
space.object.name.Star,Gwiazda {0},,
space.object.name.System,Układ Gwiezdny {0},,
space.object.name.Universe,Galaktyka {0},,
space.object.Planet,Planeta,,
space.object.Player,Gracz,,
space.object.Probe,Sonda,,
space.object.ShipMerchant,Kupiec,,
space.object.Shuttle,Prom Kosmiczny,,
space.object.Star,Gwiazda,,
space.object.System,Układ Gwiezdny,,
space.object.Universe,Wszechświat,,
species,Gatunek,,
species.Carrier,Dron Dostawczy,,
species.Cat,Kot,,
species.CleaningBot,Bot do Czyszczenia,,
species.Crawler,Pełzak,,
species.Dog,Pies,,
species.Drone,Dron Dostawczy,,
species.Human,Człowiek,,
species.Robot,Robot,,
species.Sentry,Strażnik,,
speed,Szybkość,,
starmap,Mapa Gwiezdna,,
starmap.about,"Podłączyliśmy Mostek Sterowania! Kliknij nakładkę Mapy Gwiezdnej, aby ją otworzyć i zobaczyć gdzie w kosmosie aktualnie się znajdujemy. Nadal będziemy potrzebować działających silników lub przynajmniej silników odrzutowych, aby podróżować.",07.01.2022,
starmap.blackhole.warping,Przemieszczanie się przez Czarną Dziurę<br><size=200%>{0}</size>,,
starmap.changing.scope,Zakres Mapy Gwiezdnej<br><size=200%>{0}</size>,,
starmap.enter.dest.not.null,"Operacja niemożliwa. Mamy aktywny cel. Musimy dokończyć lub anulować naszą obecną podróż, aby operować na Mapie Gwiezdnej.",,
start.mining,Zacznij Wydobywanie Kryptowaluty,,Label on a button that starts mining a cryptocurrency
start.tutorial,Zacznij Samouczek,,
starting.expedition,"Rozpoczęcie wyprawy do {0}. Prom kosmiczny wystartuje, gdy członkowie załogi wejdą na pokład. Postępy wyprawy możesz śledzić w nakładce Wypraw w menu w prawym górnym rogu.",,
stasis.elysium,Elizjum,,
stasis.pod.flying.info,"To jest Kapsuła Zastoju. Musisz poczekać, aż wyląduje i wyrzuci swoją zawartość, zanim będziesz mógł z nią wejść w interakcję.",,
stasis.pod.incoming,Nadchodzi Kapsuła Zastoju,,
stasis.pod.landed.info,Ta Kapsuła Zastoju właśnie wylądowała. Zawartość zostanie wyrzucona po zakończeniu sekwencji ostudzania.,,
stasis.pod.merchant.prompt,Kapsiła Zastoju należy do niezależnego sprzedawcy {0}. Oferuje on wymianę. Czy chcesz handlować jakimiś towarami?,,
stock.market,Giełda Papierów Wartościowych,,
stock.market.research.required,"Aby włączyć tę funkcjonalność, wymagane jest przeprowadzenie badań „Giełda Papierów Wartościowych”",,
stock.ownership.All,Wszystkie,,
stock.ownership.Owned,Posiadane,,
stock.trading.research.required,"Aby włączyć tę funkcjonalność, wymagane jest przeprowadzenie badań „Handel Akcjami”",,
stockpile,Zapas,,
stop,Stop,,
stop.growing,Zatrzymaj Hodowanie Roślin,,
stop.mining,Zatrzymaj Kopanie,,
stop.processing,Zaprzymaj Procesowanie,,
stop.producing,Zatrzymaj Produkcję,,
storage,Magazyn,,
storage.and.processor.unavailable,Brak Magazynu i Procesora,,
storage.and.processor.unavailable.desc,"{0} zaznaczonych elementów nie ma zgodnego magazynu, a {1} element(ów) nie ma dostępnego procesora. Najpierw zbuduj obiekt magazynowy i odpowiedni obiekt przetwarzający ({2}).",,
storage.capacity,Pojemność Magazynowania,,
storage.capacity.bar,Użyta Pojemność Magazynowania: {0}/{1},09.06.2022,
storage.capsule,Kapsuła do Magazynowania,,
storage.capsule.still.flying,"Ta kapsuła do magazynowania nadal leci. Możesz z nią wejść w interakcję, gdy wyląduje.",,
storage.container.incoming,Nadchodząca kapsuła do magazynowania,,
storage.empty,Magazyn jest pusty,,
storage.full,Magazyn jest pełny,,
storage.module,Moduł Dysku,,
storage.module.amount,{0} ZB,,
storage.module.builtin,Wbudowany Moduł Dysku,,
storage.module.unpowered,Moduł Dysku (niezasilony),,
storage.settings,Ustawienia Magazynowania,,
storage.unavailable,Brak Magazynu,,
storage.unavailable.desc,{0} zaznaczonych element(ów) nie ma dostępnego zgodnego magazynu. Najpierw zbuduj obiekt magazynowy i spróbuj wykonać tę czynność ponownie.,,
store.materials,Zmagazynuj Materiały,,
story.leaving_earth.intro.1,Wgrywanie sieci neuronowej do hosta. Wyłączanie I/O w celu zmniejszenia początkowego szoku. <br><br>Włączanie wizualizacji danych za 3... 2... 1...,31.03.2022,
story.leaving_earth.intro.2,"Witaj, kolonisto. Jestem <b>StatekOS</b>, sztuczną inteligencją przydzieloną do zbudowania tego statku. Jednakże, zadanie to jest zbyt trudne dla mojego oprogramowania, dlatego zdecydowałem się wgrać świadomość ludzkiego kolonisty do mojej sieci neuronowej. Zostałeś/aś wybrany/a losowo. Przepraszam za niedogodności.",,
story.leaving_earth.intro.3,"To jest <nobr><b>Komputer Pokładowy</b></nobr>, który obsługuje naszą sieć neuronową. Utrzymaj to urządzenie w stanie działającym za wszelką cenę, chyba że narusza to Pierwsze Prawo Asimova.<br><i>[Robot nie może skrzywdzić człowieka ani, przez bezczynność, pozwolić, aby człowiek doznał krzywdy. ]</i>",,
story.leaving_earth.intro.4,"W <nobr><b>Komorze Zastoju</b></nobr> hibernuje {0} ocalałych. Musimy podłączyć komorę do naszej sieci elektroenergetycznej i dostarczać wystarczająco dużo energii, aby utrzymać stabilność systemów podtrzymywania życia. Wadliwe kapsuły wywołają przedwczesne wybudzenie. Aby zminimalizować możliwe ofiary, musimy zbudować ekosystem wokół tych obszarów.",,
story.leaving_earth.intro.5,Czasami będę sugerować rozsądne działania w zależności od okoliczności. Teraz daję ci pełną kontrolę. Powodzenia!,,
story.leaving_earth.loading,"Ziemia upadła. Jesteś zaawansowaną sztuczną inteligencją odpowiedzialną za budowę i obsługę  arki „{0}”, która będzie szukała zamieszkalnej planety.",,
story.leaving_earth.loading_side,Generowanie scenariusza. Proszę czekać…,,
story.leaving_earth.loading_side_att,Generowanie scenariusza. Próba {0}…,,{0} will be a number: 2 or greater
story.leaving_earth.log.desc,"Zostałem przydzielony do zbudowania statku, który może pokonywać duże odległości, utrzymując ludzi w stanie uśpienia w Komorze Zastoju. Mamy mnóstwo surowców gotowych do użycia; powinno być to bułka z masłem.",,
story.leaving_earth.log.title,Rozpoczęto Budowę Statku,,
story.ship.cpu.destroyed.desc,Komputer Pokładowy został zniszczony. Straciliśmy wszelką nadzieję.,,
story.ship.cpu.destroyed.title,Komputer Pokładowy został zniszczony.,,
story.wreck_empty_ship.intro.1,Wgrywanie sieci neuronowej do hosta. Wyłączanie I/O w celu zmniejszenia początkowego szoku. <br><br>Włączanie wizualizacji danych za 3... 2... 1...,31.03.2022,
story.wreck_empty_ship.intro.2,"Witaj, kolonisto. Jestem <b>StatekOS</b>, sztuczną inteligencją, która kontroluje statek. Doszło do awarii, która spowodowała przesłanie ludzkiej świadomości. Zostałeś wybrany/a jako najbardziej kompatybilny/a. Przepraszam za niedogodności.",,
story.wreck_empty_ship.intro.3,"To jest <nobr><b>Komputer Pokładowy</b></nobr>, który obsługuje naszą sieć neuronową. Utrzymaj to urządzenie w stanie działającym za wszelką cenę, chyba że narusza to Pierwsze Prawo Asimova.<br><i>[Robot nie może skrzywdzić człowieka ani, przez bezczynność, pozwolić, aby człowiek doznał krzywdy. ]</i>",,
story.wreck_empty_ship.intro.4,"Wygląda na to, że ktoś przeżył. Powinniśmy mieć oko na tych kolonistów. Naprawa i przeniesienie niektórych obiektów do tego obszaru może pozwolić im przeżyć dłużej.",28.02.2022,
story.wreck_empty_ship.intro.5,"W <nobr><b>Komorze Zastoju</b></nobr> hibernuje {0} ocalałych, ale systemy podtrzymywania życia staną się niestabilne, jeśli nie przywrócimy zasilania.<br><br>Niesprawne kapsuły wywołają przedwczesne wybudzenie. Aby zminimalizować liczbę ofiar, musimy odbudować ekosystem w tym obszarze.",28.02.2022,
story.wreck_empty_ship.intro.6,"Jeśli zbudujemy <nobr><b>Mostek Sterowania</b></nobr> i <b>Silniki Odrzutowe</b>, możemy podróżować na pobliskie planety i używać tego <b>Promu Kosmicznego</b> do wypraw górniczych. Pozwoliłoby nam to na utworzenie systemu przetwarzania zasobów i produkcję niezbędnych materiałów do odbudowy naszego statku.",28.02.2022,
story.wreck_empty_ship.intro.7,"Czy chciałbyś/abyś wziąć udział w szybkim kursie samouczkowym? Jeśli to twój pierwszy raz, gorąco polecam.",28.02.2022,
story.wreck_empty_ship.intro.8,"Wygląda na to, że w pobliżu jest więcej wraków. Powinniśmy być w stanie się do nich zbliżyć, gdy przywrócimy niektóre możliwości <b>Podróży Kosmicznych</b>.",,
story.wreck_empty_ship.log.desc,"Obudziłem się, ale nie tak, jak oczekiwałem. Wygląda na to, że mój mózg został przesłany do Somputera Pokładowego. Operacja wydaje się nieodwracalna. Jestem uwięziony w tym metalowym pudełku na zawsze...",,
story.wreck_empty_ship.log.title,Obudziłeś się,,
story.wreck_empty_ship.skip_tutorial.desc,"StatekOS zasugerował mi szybki kurs samouczka, ale po prostu sam wszystko rozgryzę. Mam nadzieję, że nie będę żałował tej decyzji.",,
story.wreck_empty_ship.skip_tutorial.title,Pominięto Szybki Kurs Samouczka,,
story.wrecked_empty_ship.loading,"Ziemia upadła. Ocaleni wędrują po wszechświecie w poszukiwaniu nowego domu. Zapadasz w sen zimowy na arce „{0}”, statku wyposażonym w zaawansowaną sztuczną inteligencję, która obudzi kolonistów po założeniu bazy na nadającej się do zamieszkania planecie.",,
